,1stFlrSF,2ndFlrSF,YearBuilt,SalePrice
0,856,854,2003,208500
1,1262,0,1976,181500
2,920,866,2001,223500
3,961,756,1915,140000
4,1145,1053,2000,250000
5,796,566,1993,143000
6,1694,0,2004,307000
7,1107,983,1973,200000
8,1022,752,1931,129900
9,1077,0,1939,118000
10,1040,0,1965,129500
11,1182,1142,2005,345000
12,912,0,1962,144000
13,1494,0,2006,279500
14,1253,0,1960,157000
15,854,0,1929,132000
16,1004,0,1970,149000
17,1296,0,1967,90000
18,1114,0,2004,159000
19,1339,0,1958,139000
20,1158,1218,2005,325300
21,1108,0,1930,139400
22,1795,0,2002,230000
23,1060,0,1976,129900
24,1060,0,1968,154000
25,1600,0,2007,256300
26,900,0,1951,134800
27,1704,0,2007,306000
28,1600,0,1957,207500
29,520,0,1927,68500
30,649,668,1920,40000
31,1228,0,1966,149350
32,1234,0,2007,179900
33,1700,0,1959,165500
34,1561,0,2005,277500
35,1132,1320,2004,309000
36,1097,0,1994,145000
37,1297,0,1954,153000
38,1057,0,1953,109000
39,1152,0,1955,82000
40,1324,0,1965,160000
41,1328,0,1959,170000
42,884,0,1983,144000
43,938,0,1975,130250
44,1150,0,1959,141000
45,1752,0,2005,319900
46,1518,631,2003,239686
47,1656,0,2006,249700
48,736,716,1920,113000
49,955,0,1966,127000
50,794,676,1997,177000
51,816,0,1934,114500
52,816,0,1963,110000
53,1842,0,1981,385000
54,1360,0,1955,130000
55,1425,0,1964,180500
56,983,756,1999,172500
57,860,860,2004,196500
58,1426,1519,2006,438780
59,780,0,1972,124900
60,1158,0,2004,158000
61,581,530,1920,101000
62,1370,0,2006,202500
63,902,808,1921,140000
64,1057,977,1997,219500
65,1143,1330,2004,317000
66,2207,0,1970,180000
67,1479,0,2003,226000
68,747,0,1945,80000
69,1304,983,1953,225000
70,2223,0,1973,244000
71,845,0,1982,129500
72,885,833,1998,185000
73,1086,0,1954,144900
74,840,765,1915,107400
75,526,462,1973,91000
76,952,0,1956,135750
77,1072,213,1948,127000
78,1768,0,1968,136500
79,682,548,1910,110000
80,1182,960,1968,193500
81,1337,0,1998,153500
82,1563,0,2007,245000
83,1065,0,1960,126500
84,804,670,1995,168500
85,1301,1116,1991,260000
86,684,876,2005,174000
87,612,612,2009,164500
88,1013,0,1915,85000
89,990,0,1994,123600
90,1040,0,1950,109900
91,1235,0,1961,98600
92,964,0,1921,163500
